,clean
1165,listen bring michael jackson home stay day cute hear sure plenty cold cut beer ice
1166,um homer vegetarian drink
1168,yes homer sure tell anybody come
1169,yes dad solemnly swear tell living soul milhouse
1170,hello milhouse secret
1172,oh care michael jackson come house
1176,aunt bella wait minute get line michael jackson
1179,hand bulletin rock ' n ' rumor department
1180,right michael jackson thriller moonwalkin ' way right spring field
1181,check enjoy seldom hear extra longggg version gadda da vida
1182,michael jackson oh thing happen blue moon dare leave post
1184,exciting thing happen fair town uh dalai lama visit declare route currently know dalai lama expressway henceforth know michael jackson expressway
1185,guy pink shirt father family turn release mental hospital
1186,thank everybody great sane
1193,hell think michael jackson visit jerkwater burg
1194,owe michael jackson
1195,face ya tool
1196,bart entire town howl blood join question today birthday promise afraid ask
1197,know maybe trust instinct ask
1198,think oh bart
1200,dear bart stationery mom dad give birthday inform brother sister professional advise hug far distant family reunion rest assure purely
1203,wish well heart desire
1204,bart kid money know sister ' birthday roll
1206,write song care
1208,age gold record
1209,hey looney tune michael jackson look like look like big fat mental patient
1212,look boy michael jackson guy work recording studio la willing work song choice long
1213,wait wait michael sit piano boil coffee
1214,lisa tooth big green lisa smell like gasoline lisa da da da deesa sis ta birthday miss ta
1216,bart get real feeling sister
1218,let look maybe help
1219,ah look sad
1220,cause know look
1221,aware look look exactly
1222,bart think happen turn
1223,training wheel come bike
1224,good good training wheel come bike start notice boy like hee hee hee
1226,lisa lisa lisa
1227,huh wha bart m
1228,right hope like present
1229,li sa birthday god bless day give gift little sister proud today
1232,lisa birthday happy birthday lisa
1235,oh good present got thank bart thank michael
1237,hey michael happen voice
1238,real voice leon kompowski brick layer patterson new jersey life angry day talk like sudden everybody smile doing good earth keep doing tired point truly crazy
1240,bye bye leon bye roomie bye pardner credit dementia
1242,lisa birthday god bless day give gift da doo da dee dee doo doo proud today
1243,lisa birthday happy birthday lisa lisa birthday happy birthday lisa
1251,stupid junk mail win yeah win good news homer simpsoy get dumb think
1253,mr simpson assure check non negotiable
1254,oh yeah make damn sure
1255,say void void void check cash value twentieth cent mr banker honor
1257,feeling good true time million dollar queer deal
1258,think real check exclamation point
1259,get free sample read digest
1260,marge read magazine life go to start
1262,  dear want compact be truth
1263,truth homer document woman safe driver man
1264,oh marge cartoon deep meaning stupid drawing cheap laugh
1265,hey einstein readin ' lunchtime
1267,hey wanna eat ya stomach staple
1268,tolstoy say quotable notable learn sir black bread
1270,homer simpson sir
1271,simpson eh strange job description clearly specify illiterate
1272,return troy mcclure delore montenegro preacher shovel
1273,irrigation save people chief smile bear
1274,marge look stare idiot box god forbid read improve mind
1275,certainly take shine magazine
1278,magazine marge hundred magazine filter crap leave fit right pocket
1279,kid know miss
1281,hey give man
1282,go to sit family listen inspiring story wilderness survival
1283,hear sound arctic explorer dread pitiless bark sea lion kill
1284,homer obviously get alive write article
1287,homie magazine minute
1289,think want snuggle
1290,remind seven way spice marriage
1291,marge nice body like costume ask
1293,wow little meatloaf man
1295,think baby steer wrong free free
1296,certainly enrich life
1297,wow win trip washington d c expense pay vip tour oh kid
1299,hm essay contest child word fiercely pro american sound interesting
1300,bart maybe like
1301,mom nice thought know pony bet
1302,ben franklin alive today oh think well opening
1306,ooh miss question
1307,stuck like bike ride kid bike ride anymore
1309,know think maybe bike cool anymore kid use word cool
1311,okay america inspire
1312,wow bald eagle
1314,thank drive contest dad
1316,  burn flag well burn thing well burn shirt pant sure burn tv car oh yes forget burn house thing exist white stripe seven red stripe hell lotta star thank
1317,yeah damn right
1318,recipe free country mix cup liberty teaspoon justice add informed electorate baste veto power
1319,spineless belly yellow american non voter
1320,  stir cup check sprinkle liberally balance
1321,ding dong sound liberty bell de freedom dong opportunity de excellent school dong quality hospital
1322,america bear hot july day tree springfield forest tiny sapling tremble sun nourish mother earth fledgling nation find strength simple ideal equality justice think mighty oak powerful nation grow fragile pure thank
1324,good little good year old methink detect sickly scent daddy
1326,mr simpson like ask question daughter essay lisa excuse
1331,interested politic government
1334,lisa meet father decide award additional point congratulation family go washington
1335,woo hoo guess reading writing pay
1337,playing card notepad aspirin sewing kit pilot wing pin propellor shape swizzle stick sleep mask got come
1340,little boy bet like visit cockpit
1342,control stick like handlebar tricycle like hang coat
1343,thank push button
1345,go to die
1346,look marge guy taxi
1347,oooh look homer irs
1353,homer look shower cap body gel bathrobe ooh welcome mint pillow
1354,wowww shoehorn like movie
1355,shoe go shoe go shoe go shoe go shoe go shoe go
1357,bart thing bedsie
1362,good night sleep lisa
1368,stupid welcome mint y'ello
1369,good morning wake
1373,lisa faith crowley patriotism editor read digest
1374,ooh love magazine favorite section increase word power thing good
1376,lisa like meet finalist truong van dinh maria dominguez
1378,maria national spelling bee champion truong win westinghouse talent search nfl punt pass kick competition
1379,run problem superior ability
1382,special vip badge place tourist
1386,  spot richard nixon bowl game
1388,wow president bathroom
1391,oh damn badge okay tub instal
1393,hey watch chief
1394,folk print eighteen million bill day oh case wonder free sample
1395,lousy cheap country
1396,bart spirit st louis
1398,oh marge grow
1399,congressman springfield national forest
1400,basically want cut
1402,artist rendition old growth age fester away come log company thin clutter nature y'know cycle
1403,jerry whale lobbyist like log permit uh like bury toxic waste people go to notice tree go
1404,uh congressman get awkward know want
1405,  offer bribe
